iter	Passed	Remaining
0	3	984
1	5	801
2	7	702
3	8	613
4	9	548
5	11	551
6	13	562
7	15	560
8	17	559
9	19	552
10	21	557
11	23	561
12	25	565
13	27	568
14	29	568
15	31	557
16	33	560
17	36	564
18	38	566
19	40	565
20	42	562
21	44	564
22	47	566
23	49	568
24	51	567
25	53	565
26	55	563
27	57	556
28	59	553
29	61	552
30	63	547
31	65	544
32	67	542
33	68	538
34	70	536
35	71	527
36	73	523
37	74	514
38	76	509
39	78	507
40	79	503
41	81	503
42	83	500
43	85	498
44	87	497
45	89	494
46	91	492
47	93	493
48	95	490
49	97	489
50	99	486
51	101	485
52	103	483
53	105	479
54	106	476
55	108	474
56	111	473
57	112	470
58	114	468
59	116	464
60	117	462
61	119	458
62	121	456
63	122	453
64	124	451
65	126	449
66	128	447
67	130	445
68	132	444
69	134	442
70	136	441
71	138	437
72	140	435
73	141	433
74	143	431
75	145	429
76	147	426
77	148	423
78	150	421
79	152	418
80	154	416
81	155	414
82	157	412
83	159	410
84	161	408
85	163	406
86	165	405
87	167	403
88	169	401
89	171	399
90	173	398
91	175	396
92	177	394
93	178	392
94	180	389
95	182	387
96	183	384
97	185	381
98	187	379
99	188	377
100	190	375
101	192	373
102	193	370
103	195	369
104	198	367
105	199	364
106	201	362
107	203	361
108	205	359
109	206	356
110	208	355
111	209	352
112	211	350
113	213	348
114	214	345
115	216	343
116	218	341
117	219	338
118	221	336
119	223	334
120	225	333
121	227	331
122	229	329
123	231	327
124	232	325
125	233	322
126	235	320
127	236	318
128	239	316
129	240	315
130	242	313
131	244	311
132	245	308
133	247	306
134	249	305
135	251	302
136	252	300
137	254	298
138	256	296
139	257	294
140	259	292
141	261	290
142	263	289
143	265	287
144	266	285
145	268	282
146	269	280
147	271	279
148	273	277
149	275	275
150	276	273
151	279	271
152	280	269
153	282	268
154	284	266
155	286	264
156	288	262
157	290	261
158	292	259
159	294	257
160	295	255
161	297	253
162	299	251
163	301	250
164	303	248
165	305	246
166	307	244
167	309	243
168	311	241
169	313	239
170	315	238
171	317	236
172	319	234
173	321	232
174	323	231
175	325	229
176	327	227
177	330	226
178	332	224
179	334	222
180	336	221
181	338	219
182	340	217
183	342	215
184	343	213
185	345	211
186	347	209
187	349	207
188	351	206
189	353	204
190	355	202
191	357	200
192	358	199
193	360	197
194	362	195
195	364	193
196	366	191
197	367	189
198	369	187
199	371	185
200	373	183
201	374	181
202	376	179
203	377	177
204	379	175
205	381	174
206	383	172
207	385	170
208	387	168
209	389	166
210	390	164
211	392	163
212	394	161
213	396	159
214	398	157
215	401	155
216	402	154
217	404	152
218	406	150
219	408	148
220	410	146
221	412	144
222	414	143
223	415	141
224	417	139
225	419	137
226	421	135
227	423	133
228	425	131
229	427	130
230	429	128
231	431	126
232	433	124
233	435	122
234	437	120
235	439	119
236	440	117
237	442	115
238	444	113
239	446	111
240	448	109
241	450	107
242	451	106
243	453	104
244	455	102
245	457	100
246	459	98
247	461	96
248	463	94
249	465	93
250	468	91
251	469	89
252	471	87
253	473	85
254	475	83
255	477	82
256	479	80
257	481	78
258	483	76
259	484	74
260	487	72
261	489	70
262	490	69
263	493	67
264	495	65
265	496	63
266	498	61
267	500	59
268	502	57
269	504	56
270	506	54
271	508	52
272	510	50
273	512	48
274	514	46
275	515	44
276	517	42
277	519	41
278	521	39
279	522	37
280	525	35
281	527	33
282	528	31
283	530	29
284	532	28
285	533	26
286	535	24
287	537	22
288	538	20
289	540	18
290	542	16
291	544	14
292	546	13
293	548	11
294	550	9
295	552	7
296	554	5
297	556	3
298	557	1
299	559	0
